URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10593797,10593797.0,house,house,1650000,2,356.0,None None,1390,Grez-Doiceau,Nivelles,False,,,5000,True,usa hyper equipped,4.0,False,False,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10211852,10211852.0,house,house,1750000,5,822.0,None None,1390,Grez-Doiceau,Nivelles,True,,,5320,True,hyper equipped,4.0,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/10503906,10503906.0,house,house,3200000,5,970.0,None None,1300,Wavre,Nivelles,True,,,10000,True,hyper equipped,4.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/flat-studio/for-sale/schaerbeek/1030/10679364,10679364.0,apartment,flat studio,165000,0,40.0,Allée des Freesias 1,1030,Schaerbeek,Brussels,False,,,,True,installed,4.0,False,False,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/10679362,10679362.0,house,house,260000,4,185.0,Geraardsbergsestraat 22,9400,Ninove,Aalst,False,True,60,180,True,,2.0,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/10679361,10679361.0,house,house,329000,3,161.0,Stationsstraat 25,9900,Eeklo,Eeklo,False,,,161,True,installed,2.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/villa/for-sale/tessenderlo/3980/10403628,10403628.0,house,villa,449950,3,,Lindenstraat 64,3980,Tessenderlo,Hasselt,False,,,504,True,,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/10679360,10679360.0,house,house,249000,4,183.0,Rue des Maquisards 34,4400,Flemalle,Liège,False,True,1340,1521,True,not installed,4.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10679359,10679359.0,house,house,85000,2,65.0,Rue Hya 43,4100,Seraing,Liège,False,,,45,True,installed,2.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/esneux/4130/10679358,10679358.0,house,house,159000,2,123.0,Rue du Laveu 11,4130,Esneux,Liège,False,,,156,True,not installed,2.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/10679356,10679356.0,house,house,179000,3,115.0,Rue de la Commune 109,4101,Seraing,Liège,False,True,110,195,True,not installed,2.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/10679353,10679353.0,apartment,flat studio,199000,0,21.0,Emile Clausstraat 61,1050,Ixelles,Brussels,False,,,,True,usa semi equipped,2.0,False,,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/10679352,10679352.0,apartment,apartment,375000,2,86.0,None None,1410,Waterloo,Nivelles,False,,,,True,installed,3.0,False,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/vilvoorde/1800/10679351,10679351.0,house,villa,430000,3,132.0,Houtemsesteenweg 283,1800,Vilvoorde,Halle-Vilvoorde,False,True,400,623,True,semi equipped,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/eghez%C3%A9e%20war%C3%AAt-la-chauss%C3%A9e/5310/10679350,10679350.0,house,house,299000,3,119.0,Chaussée de Namur 370,5310,Eghezée Warêt-la-Chaussée,Namur,False,True,82,234,True,not installed,2.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/eghez%C3%A9e%20war%C3%AAt-la-chauss%C3%A9e/5310/10679349,10679349.0,house,house,299000,3,119.0,Chaussée de Namur 370,5310,Eghezée Warêt-la-Chaussée,Namur,False,True,82,234,True,not installed,2.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/geel/2440/10679345,10679345.0,house,house,249000,3,175.0,Velodroomstraat 96,2440,Geel,Turnhout,False,,,581,True,installed,3.0,False,,
https://www.immoweb.be/en/classified/house/for-sale/stembert/4801/10679344,10679344.0,house,house,299000,3,83.0,Pierre Delaval 48,4801,Stembert,Verviers,False,True,1069,1195,True,,4.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/theux/4910/10679343,10679343.0,house,house,449000,7,353.0,Hodbomont 24,4910,Theux,Verviers,True,True,1409,1546,True,,3.0,False,True,GOOD
https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/10679342,10679342.0,house,house,125000,2,170.0,Rue Louis Banneux 36,5580,Rochefort,Dinant,False,,,412,True,not installed,4.0,False,False,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/monceau-sur-sambre/6031/10679332,10679332.0,house,house,169999,3,120.0,Rue Nicolas Lancelot 53,6031,Monceau-sur-Sambre,Charleroi,False,True,185,185,True,usa installed,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/forchies-la-marche/6141/10679331,10679331.0,house,house,184999,4,164.0,None None,6141,Forchies-la-Marche,Charleroi,False,True,160,90,True,installed,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6001/10679329,10679329.0,house,house,149000,2,99.0,Avenue Eugène Mascaux 576,6001,Charleroi,Charleroi,False,,,0,True,usa installed,3.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/fleurus/6220/10679328,10679328.0,house,house,159000,2,98.0,Rue Sainte-Anne 7,6220,Fleurus,Charleroi,False,True,40,90,True,usa installed,2.0,False,False,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10679326,10679326.0,house,house,299000,2,118.0,Sint-Jozefstraat 25,2800,Mechelen,Mechelen,False,True,28,100,True,usa hyper equipped,2.0,False,False,
https://www.immoweb.be/en/classified/house/for-sale/vise/4600/10679325,10679325.0,house,house,229000,3,145.0,Rue du Brouck 61,4600,Vise,Liège,False,,,184,True,installed,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10679324,10679324.0,house,house,159000,3,87.0,Rue du Chene 268,4100,Seraing,Liège,False,True,106,145,True,installed,2.0,False,False,JUST_RENOVATED
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10679321,10679321.0,apartment,penthouse,268000,1,50.0,Emile Regard 27,1180,Uccle,Brussels,False,,,,True,usa installed,2.0,False,False,JUST_RENOVATED
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerp/2018/10679319,10679319.0,apartment,penthouse,956000,3,181.0,Desguinlei 86,2018,Antwerp,Antwerp,False,,,,True,hyper equipped,,False,,AS_NEW
https://www.immoweb.be/en/classified/ground-floor/for-sale/diest/3290/10679318,10679318.0,apartment,ground floor,349000,2,113.0,Turnhoutsebaan 24,3290,Diest,Leuven,False,,,,True,hyper equipped,,False,,AS_NEW
https://www.immoweb.be/en/classified/triplex/for-sale/sambreville/5060/10679312,10679312.0,apartment,triplex,135000,2,120.0,Rue Barthélemy Molet 194,5060,Sambreville,Namur,False,,,,True,,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/town-house/for-sale/sambreville/5060/10679311,10679311.0,house,town house,135000,2,120.0,Rue Barthélemy Molet 194,5060,Sambreville,Namur,False,,,65,True,,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/beyne-heusay/4610/10679310,10679310.0,house,house,140000,2,131.0,None None,4610,Beyne-Heusay,Liège,False,,,104,True,,2.0,False,False,
