URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building,Price_per_sqm,province
https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/10658377,10658377.0,apartment,apartment,250000.0,3.0,105.0,Berkhoevelaan 8,2570,Duffel,Mechelen,False,False,0.0,0.0,True,installed,2.0,True,False,,2380.95,Antwerp
https://www.immoweb.be/en/classified/apartment/for-sale/marche-en-famenne/6900/10571573,10571573.0,apartment,apartment,169000.0,2.0,83.0,Avenue de la Toison d'Or 17,6900,Marche-en-Famenne,Marche-en-Famenne,False,False,0.0,0.0,True,,2.0,True,False,,2036.14,Luxemburg
https://www.immoweb.be/en/classified/apartment/for-sale/chaumont-gistoux/1325/10658367,10658367.0,apartment,apartment,425000.0,3.0,160.0,None None,1325,Chaumont-Gistoux,Nivelles,False,False,0.0,0.0,True,hyper equipped,2.0,True,False,GOOD,2656.25,Walloon_Brabant
https://www.immoweb.be/en/classified/apartment/for-sale/chaumont-gistoux/1325/10658366,10658366.0,apartment,apartment,245000.0,1.0,67.0,None None,1325,Chaumont-Gistoux,Nivelles,False,True,100.0,0.0,True,installed,2.0,True,False,GOOD,3656.72,Walloon_Brabant
https://www.immoweb.be/en/classified/loft/for-sale/corroy-le-grand/1325/10658364,10658364.0,apartment,loft,465000.0,2.0,200.0,None None,1325,Corroy-le-Grand,Nivelles,False,True,300.0,0.0,True,,2.0,True,False,,2325.0,Walloon_Brabant
https://www.immoweb.be/en/classified/villa/for-sale/neupre/4121/10658363,10658363.0,house,villa,479000.0,4.0,175.0,Drève du Bois de Neuville 70,4121,Neupre,Liège,False,True,2640.0,2817.0,True,usa installed,4.0,False,False,GOOD,2737.14,Liege
https://www.immoweb.be/en/classified/apartment/for-sale/ans/4430/10658362,10658362.0,apartment,apartment,189000.0,2.0,66.0,Rue des Trois Rois 99b,4430,Ans,Liège,False,False,0.0,0.0,True,,2.0,False,False,GOOD,2863.64,Liege
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2060/10658359,10658359.0,apartment,apartment,199000.0,2.0,65.0,Lange Lobroekstraat 147,2060,Antwerp,Antwerp,False,False,0.0,0.0,True,installed,2.0,True,False,JUST_RENOVATED,3061.54,Antwerp
https://www.immoweb.be/en/classified/house/for-sale/boussu/7300/10658358,10658358.0,house,house,300000.0,4.0,150.0,None None,7300,Boussu,Mons,False,False,0.0,1060.0,True,usa hyper equipped,3.0,False,False,GOOD,2000.0,Hainaut
https://www.immoweb.be/en/classified/house/for-sale/boussu/7300/10658357,10658357.0,house,house,250000.0,4.0,150.0,None None,7300,Boussu,Mons,False,False,0.0,0.0,True,usa hyper equipped,3.0,False,False,,1666.67,Hainaut
https://www.immoweb.be/en/classified/house/for-sale/basecles/7971/10658356,10658356.0,house,house,315000.0,5.0,180.0,None None,7971,BASECLES,Ath,False,True,40.0,200.0,True,installed,2.0,False,False,GOOD,1750.0,Hainaut
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/jemappes/7012/10658355,10658355.0,house,mixed use building,435000.0,5.0,179.0,None None,7012,Jemappes,Mons,False,True,90.0,400.0,True,usa installed,2.0,False,False,GOOD,2430.17,Hainaut
https://www.immoweb.be/en/classified/house/for-sale/ville-pommeroeul/7322/10658354,10658354.0,house,house,2250000.0,4.0,179.0,None None,7322,VILLE-POMMEROEUL,Ath,True,False,0.0,7165.0,True,usa installed,4.0,False,False,,12569.83,Hainaut
https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/10658353,10658353.0,house,house,330000.0,5.0,179.0,Aandorenstraat 59,3300,Tienen,Leuven,False,True,50.0,126.0,True,,2.0,False,False,GOOD,1843.58,Flemish_Brabant
https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/10658352,10658352.0,house,house,179000.0,3.0,121.0,Rue Jean Friot 121,6180,Courcelles,Charleroi,False,False,0.0,550.0,True,,2.0,True,False,,1479.34,Hainaut
https://www.immoweb.be/en/classified/villa/for-sale/oosterzele/9860/10658351,10658351.0,house,villa,835000.0,4.0,342.0,Houte 36,9860,Oosterzele,Gent,False,False,0.0,1253.0,True,,4.0,False,False,GOOD,2441.52,East_Flanders
https://www.immoweb.be/en/classified/house/for-sale/braine-le-ch%C3%83teau/1440/10658342,10658342.0,house,house,259500.0,2.0,140.0,None None,1440,Braine-le-ChÃteau,Nivelles,False,True,40.0,185.0,True,,4.0,False,False,,1853.57,Walloon_Brabant
https://www.immoweb.be/en/classified/apartment/for-sale/borgloon/3840/10658328,10658328.0,apartment,apartment,299553.0,3.0,194.0,Stationsplein A3.03,3840,Borgloon,Tongeren,False,False,0.0,0.0,True,semi equipped,2.0,True,False,,1544.09,Limburgh
https://www.immoweb.be/en/classified/apartment/for-sale/borgloon/3840/10658327,10658327.0,apartment,apartment,291199.0,3.0,123.0,Stationsplein A2.01,3840,Borgloon,Tongeren,False,False,0.0,0.0,True,installed,2.0,True,False,,2367.47,Limburgh
https://www.immoweb.be/en/classified/apartment/for-sale/borgloon/3840/10658326,10658326.0,apartment,apartment,288019.0,3.0,123.0,Stationsplein A1.01,3840,Borgloon,Tongeren,False,False,0.0,0.0,True,installed,2.0,True,False,,2341.62,Limburgh
